Date, Winner, Winning Score, Loser, Losing Score
Sep 10| 1966,Baltimore Colts,24,Green Bay Packers,3
Sep 11| 1966,Cleveland Browns,38,Washington Redskins,14
Sep 11| 1966,Minnesota Vikings,20,San Francisco 49ers,20
Sep 11| 1966,New York Giants,34,Pittsburgh Steelers,34
Sep 11| 1966,Chicago Bears,14,Detroit Lions,3
Sep 11| 1966,Philadelphia Eagles,16,St. Louis Cardinals,13
Sep 11| 1966,Los Angeles Rams,19,Atlanta Falcons,14
Sep 16| 1966,Chicago Bears,31,Los Angeles Rams,17
Sep 18| 1966,Detroit Lions,17,Pittsburgh Steelers,3
Sep 18| 1966,Atlanta Falcons,23,Philadelphia Eagles,10
Sep 18| 1966,Baltimore Colts,38,Minnesota Vikings,23
Sep 18| 1966,New York Giants,52,Dallas Cowboys,7
Sep 18| 1966,Washington Redskins,23,St. Louis Cardinals,7
Sep 18| 1966,Green Bay Packers,21,Cleveland Browns,20
Sep 25| 1966,Washington Redskins,33,Pittsburgh Steelers,27
Sep 25| 1966,New York Giants,35,Philadelphia Eagles,17
Sep 25| 1966,Los Angeles Rams,24,Green Bay Packers,13
Sep 25| 1966,Atlanta Falcons,28,Detroit Lions,10
Sep 25| 1966,Minnesota Vikings,28,Dallas Cowboys,17
Sep 25| 1966,San Francisco 49ers,36,Baltimore Colts,14
Sep 25| 1966,St. Louis Cardinals,34,Cleveland Browns,28
Sep 30| 1966,San Francisco 49ers,34,Los Angeles Rams,3
Oct 2| 1966,Pittsburgh Steelers,24,Washington Redskins,10
Oct 2| 1966,St. Louis Cardinals,41,Philadelphia Eagles,10
Oct 2| 1966,Cleveland Browns,28,New York Giants,7
Oct 2| 1966,Chicago Bears,13,Minnesota Vikings,10
Oct 2| 1966,Detroit Lions,23,Green Bay Packers,14
Oct 2| 1966,Dallas Cowboys,47,Atlanta Falcons,14
Oct 8| 1966,Pittsburgh Steelers,41,Cleveland Browns,10
Oct 9| 1966,Atlanta Falcons,33,Washington Redskins,20
Oct 9| 1966,Green Bay Packers,21,San Francisco 49ers,20
Oct 9| 1966,Los Angeles Rams,14,Detroit Lions,7
Oct 9| 1966,Philadelphia Eagles,56,Dallas Cowboys,7
Oct 9| 1966,New York Giants,24,St. Louis Cardinals,19
Oct 9| 1966,Baltimore Colts,27,Chicago Bears,17
Oct 16| 1966,Philadelphia Eagles,31,Pittsburgh Steelers,14
Oct 16| 1966,Washington Redskins,13,New York Giants,10
Oct 16| 1966,Los Angeles Rams,35,Minnesota Vikings,7
Oct 16| 1966,Dallas Cowboys,10,St. Louis Cardinals,10
Oct 16| 1966,Detroit Lions,45,Baltimore Colts,14
Oct 16| 1966,Green Bay Packers,17,Chicago Bears,0
Oct 16| 1966,San Francisco 49ers,44,Atlanta Falcons,7
Oct 23| 1966,St. Louis Cardinals,26,Washington Redskins,20
Oct 23| 1966,Detroit Lions,27,San Francisco 49ers,24
Oct 23| 1966,Philadelphia Eagles,31,New York Giants,3
Oct 23| 1966,Atlanta Falcons,56,Green Bay Packers,3
Oct 23| 1966,Minnesota Vikings,20,Baltimore Colts,17
Oct 23| 1966,Dallas Cowboys,30,Cleveland Browns,21
Oct 23| 1966,Los Angeles Rams,17,Chicago Bears,10
Oct 30| 1966,Baltimore Colts,17,Los Angeles Rams,3
Oct 30| 1966,Washington Redskins,27,Philadelphia Eagles,13
Oct 30| 1966,San Francisco 49ers,28,Minnesota Vikings,3
Oct 30| 1966,Green Bay Packers,31,Detroit Lions,7
Oct 30| 1966,Pittsburgh Steelers,52,Dallas Cowboys,21
Oct 30| 1966,Cleveland Browns,49,Atlanta Falcons,17
Oct 31| 1966,Chicago Bears,24,St. Louis Cardinals,17
Nov 6| 1966,Los Angeles Rams,21,San Francisco 49ers,13
Nov 6| 1966,Cleveland Browns,16,Pittsburgh Steelers,6
Nov 6| 1966,Dallas Cowboys,24,Philadelphia Eagles,23
Nov 6| 1966,St. Louis Cardinals,20,New York Giants,17
Nov 6| 1966,Minnesota Vikings,20,Green Bay Packers,17
Nov 6| 1966,Washington Redskins,37,Baltimore Colts,10
Nov 6| 1966,Detroit Lions,10,Chicago Bears,10
Nov 13| 1966,Dallas Cowboys,31,Washington Redskins,30
Nov 13| 1966,New York Giants,55,Los Angeles Rams,14
Nov 13| 1966,St. Louis Cardinals,30,Pittsburgh Steelers,9
Nov 13| 1966,Detroit Lions,32,Minnesota Vikings,31
Nov 13| 1966,Philadelphia Eagles,27,Cleveland Browns,7
Nov 13| 1966,San Francisco 49ers,30,Chicago Bears,30
Nov 13| 1966,Baltimore Colts,19,Atlanta Falcons,7
Nov 20| 1966,Philadelphia Eagles,35,San Francisco 49ers,34
Nov 20| 1966,Minnesota Vikings,21,Los Angeles Rams,6
Nov 20| 1966,Dallas Cowboys,20,Pittsburgh Steelers,7
Nov 20| 1966,Atlanta Falcons,27,New York Giants,16
Nov 20| 1966,Chicago Bears,13,Green Bay Packers,6
Nov 20| 1966,Baltimore Colts,20,Detroit Lions,14
Nov 20| 1966,Washington Redskins,14,Cleveland Browns,3
Nov 24| 1966,San Francisco 49ers,41,Detroit Lions,14
Nov 24| 1966,Cleveland Browns,26,Dallas Cowboys,14
Nov 27| 1966,New York Giants,72,Washington Redskins,41
Nov 27| 1966,Green Bay Packers,28,Minnesota Vikings,16
Nov 27| 1966,Pittsburgh Steelers,6,St. Louis Cardinals,3
Nov 27| 1966,Los Angeles Rams,23,Baltimore Colts,7
Nov 27| 1966,Atlanta Falcons,23,Chicago Bears,6
Dec 4| 1966,Detroit Lions,23,Los Angeles Rams,3
Dec 4| 1966,Pittsburgh Steelers,27,Philadelphia Eagles,23
Dec 4| 1966,Atlanta Falcons,20,Minnesota Vikings,13
Dec 4| 1966,San Francisco 49ers,20,Green Bay Packers,7
Dec 4| 1966,St. Louis Cardinals,31,Dallas Cowboys,17
Dec 4| 1966,Chicago Bears,21,Baltimore Colts,16
Dec 4| 1966,New York Giants,49,Cleveland Browns,40
Dec 10| 1966,Green Bay Packers,14,Baltimore Colts,10
Dec 11| 1966,Chicago Bears,41,San Francisco 49ers,14
Dec 11| 1966,Cleveland Browns,33,Philadelphia Eagles,21
Dec 11| 1966,Pittsburgh Steelers,47,New York Giants,28
Dec 11| 1966,Minnesota Vikings,28,Detroit Lions,16
Dec 11| 1966,Washington Redskins,34,Dallas Cowboys,31
Dec 11| 1966,St. Louis Cardinals,16,Atlanta Falcons,10
Dec 17| 1966,Cleveland Browns,38,St. Louis Cardinals,10
Dec 18| 1966,Philadelphia Eagles,37,Washington Redskins,28
Dec 18| 1966,Baltimore Colts,30,San Francisco 49ers,14
Dec 18| 1966,Green Bay Packers,27,Los Angeles Rams,23
Dec 18| 1966,Dallas Cowboys,17,New York Giants,7
Dec 18| 1966,Minnesota Vikings,41,Chicago Bears,28
Dec 18| 1966,Pittsburgh Steelers,57,Atlanta Falcons,33
Jan 1| 1967,Green Bay Packers,34,Dallas Cowboys,27
Jan 15| 1967,Kansas City Chiefs,35,Green Bay Packers,10
Sep 17| 1967,Atlanta Falcons,38,Baltimore Colts,31
Sep 17| 1967,Dallas Cowboys,21,Cleveland Browns,14
Sep 17| 1967,Chicago Bears,41,Pittsburgh Steelers,13
Sep 17| 1967,Washington Redskins,35,Philadelphia Eagles,24
Sep 17| 1967,Los Angeles Rams,27,New Orleans Saints,13
Sep 17| 1967,San Francisco 49ers,27,Minnesota Vikings,21
Sep 17| 1967,Detroit Lions,17,Green Bay Packers,17
Sep 17| 1967,New York Giants,37,St. Louis Cardinals,20
Sep 22| 1967,Minnesota Vikings,39,Los Angeles Rams,3
Sep 24| 1967,Atlanta Falcons,38,San Francisco 49ers,7
Sep 24| 1967,St. Louis Cardinals,28,Pittsburgh Steelers,14
Sep 24| 1967,Baltimore Colts,38,Philadelphia Eagles,6
Sep 24| 1967,Washington Redskins,30,New Orleans Saints,10
Sep 24| 1967,Chicago Bears,13,Green Bay Packers,10
Sep 24| 1967,Cleveland Browns,31,Detroit Lions,14
Sep 24| 1967,New York Giants,38,Dallas Cowboys,24
Oct 1| 1967,New York Giants,38,Washington Redskins,34
Oct 1| 1967,Pittsburgh Steelers,34,Philadelphia Eagles,24
Oct 1| 1967,Cleveland Browns,42,New Orleans Saints,7
Oct 1| 1967,Chicago Bears,17,Minnesota Vikings,7
Oct 1| 1967,Atlanta Falcons,23,Green Bay Packers,0
Oct 1| 1967,Los Angeles Rams,35,Dallas Cowboys,13
Oct 1| 1967,Detroit Lions,38,St. Louis Cardinals,28
Oct 1| 1967,San Francisco 49ers,41,Baltimore Colts,7
Oct 7| 1967,Pittsburgh Steelers,21,Cleveland Browns,10
Oct 8| 1967,Dallas Cowboys,17,Washington Redskins,14
Oct 8| 1967,San Francisco 49ers,27,Los Angeles Rams,24
Oct 8| 1967,New Orleans Saints,27,New York Giants,21
Oct 8| 1967,St. Louis Cardinals,34,Minnesota Vikings,24
Oct 8| 1967,Green Bay Packers,27,Detroit Lions,17
Oct 8| 1967,Baltimore Colts,24,Chicago Bears,3
Oct 8| 1967,Philadelphia Eagles,38,Atlanta Falcons,7
Oct 15| 1967,New York Giants,27,Pittsburgh Steelers,24
Oct 15| 1967,San Francisco 49ers,28,Philadelphia Eagles,27
Oct 15| 1967,Minnesota Vikings,10,Green Bay Packers,7
Oct 15| 1967,New Orleans Saints,14,Dallas Cowboys,10
Oct 15| 1967,Los Angeles Rams,24,Baltimore Colts,24
Oct 15| 1967,St. Louis Cardinals,20,Cleveland Browns,16
Oct 15| 1967,Detroit Lions,14,Chicago Bears,3
Oct 15| 1967,Washington Redskins,20,Atlanta Falcons,20
Oct 22| 1967,New Orleans Saints,27,San Francisco 49ers,13
Oct 22| 1967,Washington Redskins,28,Los Angeles Rams,28
Oct 22| 1967,Dallas Cowboys,24,Pittsburgh Steelers,21
Oct 22| 1967,Green Bay Packers,48,New York Giants,21
Oct 22| 1967,Baltimore Colts,20,Minnesota Vikings,20
Oct 22| 1967,Atlanta Falcons,24,Detroit Lions,3
Oct 22| 1967,Philadelphia Eagles,48,St. Louis Cardinals,14
Oct 22| 1967,Chicago Bears,24,Cleveland Browns,0
Oct 29| 1967,Baltimore Colts,17,Washington Redskins,13
Oct 29| 1967,Detroit Lions,45,San Francisco 49ers,3
Oct 29| 1967,Dallas Cowboys,21,Philadelphia Eagles,14
Oct 29| 1967,Cleveland Browns,38,New York Giants,34
Oct 29| 1967,Pittsburgh Steelers,14,New Orleans Saints,10
Oct 29| 1967,Los Angeles Rams,28,Chicago Bears,17
Oct 29| 1967,Minnesota Vikings,21,Atlanta Falcons,20
Oct 30| 1967,Green Bay Packers,31,St. Louis Cardinals,23
Nov 5| 1967,St. Louis Cardinals,27,Washington Redskins,21
Nov 5| 1967,Los Angeles Rams,17,San Francisco 49ers,7
